area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name,bhk,price_per_sqft
Plot  Area,Ready To Move,chikka tirupathi,4 Bedroom,Theanmp,2600.0,5.0,3.0,120.0,Outside BBMP Zones,4,4615.384615384615
Built-up  Area,Ready To Move,uttarahalli,3 BHK,Unknown,1440.0,2.0,3.0,62.0,South Zone,3,4305.555555555556
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,95.0,Bommanahalli Zone,3,6245.890861275477
Super built-up  Area,Ready To Move,kothanur,2 BHK,Unknown,1200.0,2.0,1.0,51.0,Yelahanka Zone,2,4250.0
Super built-up  Area,Ready To Move,whitefield,2 BHK,DuenaTa,1170.0,2.0,1.0,38.0,Mahadevapura Zone,2,3247.863247863248
Super built-up  Area,Ready To Move,rajaji nagar,4 BHK,Brway G,3300.0,4.0,2.0,600.0,West Zone,4,18181.81818181818
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Unknown,1310.0,3.0,1.0,63.25,Mahadevapura Zone,3,4828.244274809161
Plot  Area,Ready To Move,whitefield,4 Bedroom,Prrry M,2785.0,5.0,3.0,295.0,Mahadevapura Zone,4,10592.45960502693
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Shncyes,1000.0,2.0,1.0,38.0,Unknown,2,3800.0
Built-up  Area,Ready To Move,gottigere,2 BHK,Unknown,1100.0,2.0,2.0,40.0,South Zone,2,3636.3636363636365
Plot  Area,Ready To Move,sarjapur,3 Bedroom,Skityer,2250.0,3.0,2.0,148.0,Outside BBMP Zones,3,6577.777777777777
Super built-up  Area,Ready To Move,mysore road,2 BHK,PrntaEn,1175.0,2.0,2.0,73.5,Rajarajeshwari Nagar Zone,2,6255.31914893617
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1180.0,3.0,2.0,48.0,Outside BBMP Zones,3,4067.7966101694915
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,GrrvaGr,1540.0,3.0,3.0,60.0,Rajarajeshwari Nagar Zone,3,3896.103896103896
Super built-up  Area,Ready To Move,ramakrishnappa layout,3 BHK,PeBayle,2770.0,4.0,2.0,290.0,Outside BBMP Zones,3,10469.314079422382
Super built-up  Area,Ready To Move,manayata tech park,2 BHK,Unknown,1100.0,2.0,2.0,48.0,Yelahanka Zone,2,4363.636363636364
Plot  Area,Ready To Move,thanisandra,4 Bedroom,Soitya,2800.0,5.0,2.0,380.0,Yelahanka Zone,4,13571.42857142857
Super built-up  Area,Ready To Move,bellandur,3 BHK,Unknown,1767.0,3.0,1.0,103.0,Mahadevapura Zone,3,5829.088851160159
Super built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,660.0,1.0,1.0,23.1,Bommanahalli Zone,2,3500.0
Super built-up  Area,Ready To Move,electronic city,3 BHK,KBityo,1025.0,2.0,1.0,47.0,Bommanahalli Zone,3,4585.365853658536
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.0,Outside BBMP Zones,3,3255.813953488372
Super built-up  Area,Ready To Move,hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,123.0,Yelahanka Zone,3,6988.636363636364
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,GrrvaGr,1693.0,3.0,3.0,57.39,Rajarajeshwari Nagar Zone,3,3389.84051978736
Built-up  Area,Ready To Move,kasturi nagar,3 BHK,Kantsce,1925.0,3.0,2.0,125.0,East Zone,3,6493.506493506494
Super built-up  Area,Ready To Move,electronics city phase 1,2 BHK,Unknown,1070.0,2.0,1.0,45.5,Unknown,2,4252.336448598131
Super built-up  Area,Ready To Move,kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,125.0,Mahadevapura Zone,3,7250.580046403712
Super built-up  Area,Ready To Move,chikkalasandra,3 BHK,Unknown,1290.0,2.0,2.0,56.12,South Zone,3,4350.387596899225
Built-up  Area,Ready To Move,uttarahalli,2 BHK,Unknown,1143.0,2.0,2.0,45.0,South Zone,2,3937.0078740157483
Built-up  Area,Ready To Move,murugeshpalya,2 BHK,Gentson,1296.0,2.0,2.0,81.0,East Zone,2,6250.0
Super built-up  Area,Ready To Move,ganga nagar,1 BHK,Ceove G,600.0,1.0,0.0,38.0,Outside BBMP Zones,1,6333.333333333333
Plot  Area,Ready To Move,yelahanka,1 Bedroom,Unknown,660.0,1.0,0.0,48.0,Yelahanka Zone,1,7272.727272727273
Super built-up  Area,Ready To Move,doddathoguru,2 BHK,LancyRe,970.0,2.0,0.0,33.0,Bommanahalli Zone,2,3402.061855670103
Plot  Area,Ready To Move,kr puram,2 Bedroom,Unknown,800.0,1.0,1.0,130.0,Mahadevapura Zone,2,16250.0
Built-up  Area,Ready To Move,himagiri meadows,2 BHK,Unknown,869.0,2.0,1.0,36.0,Outside BBMP Zones,2,4142.692750287687
Super built-up  Area,Ready To Move,adarsh nagar,2 BHK,Bhncyis,1270.0,2.0,1.0,50.0,Unknown,2,3937.0078740157483
Built-up  Area,Ready To Move,whitefield,3 BHK,Suent V,2010.0,3.0,2.0,91.0,Mahadevapura Zone,3,4527.363184079602
Super built-up  Area,Ready To Move,lakshminarayana pura,2 BHK,RothaVa,1185.0,2.0,2.0,75.0,West Zone,2,6329.113924050633
Super built-up  Area,Ready To Move,yelahanka,3 BHK,NCowsar,1600.0,2.0,3.0,75.0,Yelahanka Zone,3,4687.5
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1200.0,2.0,2.0,44.0,Bommanahalli Zone,2,3666.6666666666665
Super built-up  Area,Ready To Move,ramakrishnappa layout,2 BHK,PeBayle,1500.0,2.0,2.0,185.0,Outside BBMP Zones,2,12333.333333333334
Super built-up  Area,Ready To Move,govindaraja nagar ward,2 BHK,Unknown,840.0,2.0,2.0,45.0,West Zone,2,5357.142857142857
Plot  Area,Ready To Move,tharabanahalli,3 Bedroom,Unknown,4395.0,3.0,2.0,240.0,Outside BBMP Zones,3,5460.750853242321
Super built-up  Area,Ready To Move,ganga nagar,2 BHK,Laavevi,845.0,2.0,1.0,55.0,Outside BBMP Zones,2,6508.87573964497
Plot  Area,Ready To Move,whitefield,4 Bedroom,Chranya,5700.0,5.0,3.0,650.0,Mahadevapura Zone,4,11403.508771929824
Built-up  Area,Ready To Move,varthur,2 BHK,HioraTr,1160.0,2.0,2.0,44.0,Mahadevapura Zone,2,3793.103448275862
Built-up  Area,Ready To Move,bommanahalli,8 Bedroom,Unknown,3000.0,8.0,0.0,140.0,Bommanahalli Zone,8,4666.666666666667
Super built-up  Area,Ready To Move,doddathoguru,2 BHK,Unknown,1100.0,2.0,1.0,62.0,Bommanahalli Zone,2,5636.363636363636
Super built-up  Area,Ready To Move,marathahalli,2 BHK,Unknown,1220.0,2.0,1.0,57.0,Mahadevapura Zone,2,4672.131147540984
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,Unknown,1005.0,2.0,1.0,36.68,South Zone,2,3649.7512437810947
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,Sonosty,1569.0,3.0,1.0,101.0,Yelahanka Zone,3,6437.221159974506
Super built-up  Area,Ready To Move,hennur road,3 BHK,Anavi B,2089.0,3.0,2.0,140.0,Yelahanka Zone,3,6701.771182383915
Super built-up  Area,Ready To Move,kothannur,2 BHK,Unknown,1206.0,2.0,1.0,48.23,Yelahanka Zone,2,3999.1708126036483
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,Unknown,1150.0,2.0,3.0,40.0,Bommanahalli Zone,2,3478.2608695652175
Built-up  Area,Ready To Move,cholanayakanahalli,3 BHK,Viony H,2511.0,3.0,3.0,205.0,Yelahanka Zone,3,8164.078056551175
Built-up  Area,Ready To Move,isro layout,6 Bedroom,Unknown,4400.0,6.0,3.0,250.0,South Zone,6,5681.818181818182
Super built-up  Area,Ready To Move,kodanda reddy layout,3 BHK,AdentEl,1660.0,2.0,2.0,105.0,Unknown,3,6325.301204819277
Super built-up  Area,Ready To Move,garudachar palya,3 BHK,Unknown,1325.0,2.0,2.0,60.8,Mahadevapura Zone,3,4588.679245283019
Super built-up  Area,Ready To Move,epip zone,3 BHK,SJlynro,1499.0,5.0,2.0,102.0,Mahadevapura Zone,3,6804.536357571715
Built-up  Area,Ready To Move,hegde nagar,6 Bedroom,Unknown,3000.0,7.0,2.0,210.0,Yelahanka Zone,6,7000.0
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,Unknown,1665.0,3.0,2.0,88.0,South Zone,3,5285.285285285286
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,Srire S,1060.0,2.0,2.0,58.06,Mahadevapura Zone,2,5477.358490566037
Built-up  Area,Ready To Move,sanjay nagar,2 BHK,Saenti,1000.0,2.0,2.0,70.0,Yelahanka Zone,2,7000.0
Super built-up  Area,Ready To Move,mysore highway,3 BHK,Unknown,1450.0,2.0,2.0,70.0,Rajarajeshwari Nagar Zone,3,4827.586206896552
Plot  Area,Ready To Move,isro layout,4 Bedroom,Unknown,1200.0,4.0,2.0,155.0,South Zone,4,12916.666666666666
Super built-up  Area,Ready To Move,domlur,3 BHK,Unknown,1540.0,3.0,2.0,90.0,East Zone,3,5844.1558441558445
Plot  Area,Ready To Move,kengeri,4 Bedroom,Goardth,2894.0,4.0,1.0,245.0,Rajarajeshwari Nagar Zone,4,8465.791292328957
Super built-up  Area,Ready To Move,sarjapura - attibele road,3 BHK,Unknown,1330.0,2.0,1.0,48.0,Outside BBMP Zones,3,3609.0225563909776
Built-up  Area,Ready To Move,devasthanagalu,2 BHK,Unknown,1200.0,2.0,1.0,65.0,Outside BBMP Zones,2,5416.666666666667
Built-up  Area,Ready To Move,t dasarahalli,3 Bedroom,Unknown,1200.0,3.0,1.0,90.0,Dasarahalli Zone,3,7500.0
Super built-up  Area,Ready To Move,yeshwanthpur,3 BHK,IBityin,2502.0,3.0,3.0,138.0,Dasarahalli Zone,3,5515.587529976019
Built-up  Area,Ready To Move,chandapura,2 BHK,KHityry,650.0,1.0,1.0,17.0,Outside BBMP Zones,2,2615.3846153846152
Plot  Area,Ready To Move,kothanur,3 Bedroom,BDensar,2400.0,2.0,1.0,150.0,Yelahanka Zone,3,6250.0
Super built-up  Area,Ready To Move,green view layout,2 BHK,Makeser,1007.0,2.0,2.0,43.0,Outside BBMP Zones,2,4270.109235352532
Super built-up  Area,Ready To Move,shantiniketan layout,2 BHK,Maest N,1200.0,2.0,2.0,50.0,Outside BBMP Zones,2,4166.666666666667
