area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Super built-up  Area,19-Dec,electronic city phase ii,2 BHK,Coomee,1056,2,1,39.07,Bommanahalli Zone
Plot  Area,Ready To Move,chikka tirupathi,4 Bedroom,Theanmp,2600,5,3,120,Outside BBMP Zones
Built-up  Area,Ready To Move,uttarahalli,3 BHK,,1440,2,3,62,South Zone
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,Bommanahalli Zone
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1200,2,1,51,Yelahanka Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,DuenaTa,1170,2,1,38,Mahadevapura Zone
Super built-up  Area,18-May,old airport road,4 BHK,Jaades,2732,4,,204,East Zone
Super built-up  Area,Ready To Move,rajaji nagar,4 BHK,Brway G,3300,4,,600,West Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,,1310,3,1,63.25,Mahadevapura Zone
Plot  Area,Ready To Move,gandhi bazar,6 Bedroom,,1020,6,,370,South Zone
Super built-up  Area,18-Feb,whitefield,3 BHK,,1800,2,2,70,Mahadevapura Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,Prrry M,2785,5,3,295,Mahadevapura Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Shncyes,1000,2,1,38,Unknown
Built-up  Area,Ready To Move,gottigere,2 BHK,,1100,2,2,40,South Zone
Plot  Area,Ready To Move,sarjapur,3 Bedroom,Skityer,2250,3,2,148,Outside BBMP Zones
Super built-up  Area,Ready To Move,mysore road,2 BHK,PrntaEn,1175,2,2,73.5,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1180,3,2,48,Outside BBMP Zones
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,GrrvaGr,1540,3,3,60,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,ramakrishnappa layout,3 BHK,PeBayle,2770,4,2,290,Outside BBMP Zones
Super built-up  Area,Ready To Move,manayata tech park,2 BHK,,1100,2,2,48,Yelahanka Zone
Built-up  Area,Ready To Move,kengeri,1 BHK,,600,1,1,15,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Dec,binny pete,3 BHK,She 2rk,1755,3,1,122,West Zone
Plot  Area,Ready To Move,thanisandra,4 Bedroom,Soitya,2800,5,2,380,Yelahanka Zone
Super built-up  Area,Ready To Move,bellandur,3 BHK,,1767,3,1,103,Mahadevapura Zone
Super built-up  Area,18-Nov,thanisandra,1 RK,Bhe 2ko,510,1,0,25.25,Yelahanka Zone
Super built-up  Area,18-May,mangammanapalya,3 BHK,,1250,3,2,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,660,1,1,23.1,Bommanahalli Zone
Built-up  Area,20-Dec,whitefield,3 BHK,,1610,3,2,81,Mahadevapura Zone
Super built-up  Area,17-Oct,ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77,Mahadevapura Zone
Super built-up  Area,Ready To Move,electronic city,3 BHK,KBityo,1025,2,1,47,Bommanahalli Zone
